Tanggal,Pintu Masuk,Jumlah Kunjungan
2011-02-01,Jumlah (A+B+C),533145.0
2011-02-01,Lainnya,34663.0
2011-02-01,Total,567808.0
2011-02-01,Atambua,
2011-02-01,Nanga Badau,
2011-03-01,Ngurah Rai,202539.0
2011-03-01,Soekarno-Hatta,160650.0
2011-03-01,Juanda,15317.0
2011-03-01,Kualanamu,15600.0
2011-03-01,Husein Sastranegara,9057.0
2011-03-01,Adi Sucipto,5187.0
2011-03-01,Bandara Int. Lombok,1315.0
2011-03-01,Sultan Syarif Kasim II,1852.0
2011-03-01,Pintu Udara Lainnya,2729.0
2011-03-01,Minangkabau,3215.0
2011-03-01,Sultan Iskandar Muda,
2011-03-01,Ahmad Yani,
2011-03-01,Supadio,
2011-03-01,Hasanuddin,939.0
2011-03-01,Sultan Badaruddin II,
2011-03-01,A. Pintu Udara,420178.0
2011-03-01,C. Pintu Darat,2044.0
2011-03-01,Sam Ratulangi,1778.0
2011-03-01,Atambua,
2011-03-01,Tanjung Uban,28523.0
2011-03-01,Tanjung Pinang,8388.0
2011-03-01,Tanjung Balai Karimun,8933.0
2011-03-01,Tanjung Benoa,
2011-03-01,Tanjung Mas,
2011-03-01,Pintu Laut Lainnya,5593.0
2011-03-01,Jayapura,
2011-03-01,B. Pintu Laut,139213.0
2011-03-01,Entikong,2044.0
2011-03-01,Aruk,
2011-03-01,Batam,87776.0
2011-03-01,Pintu Darat Lainnya,
2011-03-01,Jumlah (A+B+C),561435.0
2011-03-01,Lainnya,35117.0
2011-03-01,Total,596552.0
2011-03-01,Nanga Badau,
2011-04-01,A. Pintu Udara,431339.0
2011-04-01,Ngurah Rai,224423.0
2011-04-01,Soekarno-Hatta,151989.0
2011-04-01,Juanda,14179.0
2011-04-01,Kualanamu,14998.0
2011-04-01,Husein Sastranegara,9732.0
2011-04-01,Adi Sucipto,4651.0
2011-04-01,Sultan Syarif Kasim II,1982.0
2011-04-01,Sam Ratulangi,1764.0
2011-04-01,Minangkabau,2107.0
2011-04-01,Sultan Iskandar Muda,
2011-04-01,Ahmad Yani,
2011-04-01,Supadio,
2011-04-01,Hasanuddin,1146.0
2011-04-01,Sultan Badaruddin II,
2011-04-01,Pintu Udara Lainnya,2729.0
2011-04-01,Total,607546.0
2011-04-01,Bandara Int. Lombok,1639.0
2011-04-01,Jayapura,
2011-04-01,Tanjung Uban,26206.0
2011-04-01,Tanjung Pinang,9026.0
2011-04-01,Tanjung Balai Karimun,9284.0
2011-04-01,Tanjung Benoa,
2011-04-01,Tanjung Mas,
2011-04-01,Pintu Laut Lainnya,5278.0
2011-04-01,C. Pintu Darat,1831.0
2011-04-01,B. Pintu Laut,141849.0
2011-04-01,Atambua,
2011-04-01,Entikong,1831.0
2011-04-01,Nanga Badau,
2011-04-01,Pintu Darat Lainnya,
2011-04-01,Jumlah (A+B+C),575019.0
2011-04-01,Lainnya,32527.0
2011-04-01,Batam,92055.0
2011-04-01,Aruk,
2011-05-01,Pintu Udara Lainnya,2729.0
2011-05-01,A. Pintu Udara,417037.0
2011-05-01,Ngurah Rai,208832.0
2011-05-01,Soekarno-Hatta,150407.0
2011-05-01,Juanda,14894.0
2011-05-01,Husein Sastranegara,9397.0
2011-05-01,Adi Sucipto,5106.0
2011-05-01,Sultan Syarif Kasim II,2131.0
2011-05-01,Sam Ratulangi,1436.0
2011-05-01,Minangkabau,2669.0
2011-05-01,Sultan Iskandar Muda,
2011-05-01,Ahmad Yani,
2011-05-01,Supadio,
2011-05-01,Hasanuddin,1090.0
2011-05-01,Sultan Badaruddin II,
2011-05-01,Kualanamu,16648.0
2011-05-01,Bandara Int. Lombok,1698.0
2011-05-01,B. Pintu Laut,144348.0
2011-05-01,Jayapura,
2011-05-01,Total,599220.0
2011-05-01,Tanjung Uban,25487.0
2011-05-01,Tanjung Pinang,8523.0
2011-05-01,Tanjung Balai Karimun,8680.0
2011-05-01,Tanjung Benoa,
2011-05-01,Pintu Laut Lainnya,5452.0
2011-05-01,C. Pintu Darat,2201.0
2011-05-01,Tanjung Mas,
2011-05-01,Atambua,
2011-05-01,Entikong,2201.0
2011-05-01,Nanga Badau,
2011-05-01,Pintu Darat Lainnya,
2011-05-01,Jumlah (A+B+C),563586.0
2011-05-01,Lainnya,35634.0
2011-05-01,Batam,96206.0
2011-05-01,Aruk,
2011-06-01,Husein Sastranegara,11079.0
2011-06-01,A. Pintu Udara,468813.0
2011-06-01,Ngurah Rai,245248.0
2011-06-01,Soekarno-Hatta,164689.0
2011-06-01,Juanda,16215.0
2011-06-01,Kualanamu,15979.0
2011-06-01,Pintu Udara Lainnya,2729.0
2011-06-01,Sultan Badaruddin II,
